goos: linux
goarch: amd64
pkg: github.com/kamihama-railway/uwasa
cpu: Intel(R) Xeon(R) Processor @ 2.30GHz
BenchmarkEngineExecute_VM-4                                                 	 7173866	       162.2 ns/op	      16 B/op	       1 allocs/op
BenchmarkEngineExecute_OptNone-4                                            	 5697459	       209.0 ns/op	      16 B/op	       1 allocs/op
BenchmarkEngineExecute_OptBasic-4                                           	 5735329	       207.0 ns/op	      16 B/op	       1 allocs/op
BenchmarkEngineExecute_Recompiled-4                                         	 5629660	       210.8 ns/op	      16 B/op	       1 allocs/op
BenchmarkEngineExecuteWithContext-4                                         	 6660853	       177.4 ns/op	      16 B/op	       1 allocs/op
BenchmarkEngineExecuteWithContext_NeoEx-4                                   	 6565591	       181.0 ns/op	      16 B/op	       1 allocs/op
BenchmarkEngineExecuteWithContext_RegisterVM-4                              	 6370599	       186.9 ns/op	      16 B/op	       1 allocs/op
BenchmarkEngineExecuteWithContext_VM-4                                      	 8209584	       141.2 ns/op	      16 B/op	       1 allocs/op
BenchmarkEngineExecuteWithContext_OptNone-4                                 	 6781854	       174.9 ns/op	      16 B/op	       1 allocs/op
BenchmarkEngineExecuteWithContext_OptBasic-4                                	 6656062	       177.7 ns/op	      16 B/op	       1 allocs/op
BenchmarkEngineExecuteWithContext_Recompiled-4                              	 6741940	       175.5 ns/op	      16 B/op	       1 allocs/op
BenchmarkComplexExpression-4                                                	 2775380	       435.4 ns/op	      24 B/op	       2 allocs/op
BenchmarkComplexExpression_NeoEx-4                                          	 3921249	       320.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkComplexExpression_RegisterVM-4                                     	 4052710	       310.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkComplexExpression_VM-4                                             	 4128871	       394.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkComplexExpression_OptNone-4                                        	 1713874	       703.2 ns/op	      24 B/op	       2 allocs/op
BenchmarkComplexExpression_OptBasic-4                                       	 2468893	       458.9 ns/op	      24 B/op	       2 allocs/op
BenchmarkComplexExpression_Recompiled-4                                     	 2652642	       440.1 ns/op	      24 B/op	       2 allocs/op
BenchmarkEngineExecute_NeoEx-4                                              	10346504	       114.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeoExCompiler-4                                                    	  234004	      4672 ns/op	    2544 B/op	      27 allocs/op
BenchmarkStandardCompiler-4                                                 	  105776	     10971 ns/op	    5240 B/op	      87 allocs/op
PASS
ok  	github.com/kamihama-railway/uwasa	137.951s
?   	github.com/kamihama-railway/uwasa/ast	[no test files]
?   	github.com/kamihama-railway/uwasa/lexer	[no test files]
PASS
ok  	github.com/kamihama-railway/uwasa/neoex	0.005s
?   	github.com/kamihama-railway/uwasa/parser	[no test files]
PASS
ok  	github.com/kamihama-railway/uwasa/rvm	0.007s
?   	github.com/kamihama-railway/uwasa/types	[no test files]
